CompanyID	Userid_login	LdapCompanyTypeAttribute
2314	lgracia	WTYD,RESD,CSLD
2314	lharris7	WTYD,RESD,CSLD
2314	mharper2	WTYD,RESD,CSLD
2314	sbarva	WTYD,RESD,CSLD
2322	gpatterson	WTYD,RESD,CSLD
2322	jmccowan	WTYD,RESD,CSLD
2322	mbooker1	WTYD,RESD,CSLD
2322	tdent7	WTYD,RESD,CSLD
2322	tpickard	WTYD,RESD,CSLD
2511	emorrison	WTYD,RESD,CSLD
2514	dcreviston	WTYD,RESD,CSLD
2514	sgrayes	WTYD,RESD,CSLD
2514	slee7	WTYD,RESD,CSLD
2531	lmedeiros	WTYD,RESD,CSLD
2531	pboissonne	WTYD,RESD,CSLD
2531	rgosselin	WTYD,RESD,CSLD
2551	clee21	WTYD,RESD,CSLD
2551	dsamples	WTYD,RESD,CSLD
2763	ABUIE	INTR
2763	charder2	INTR
2763	DTORRICO	INTR
2763	JFAULKNER1	INTR
2805	rkuhn	WTYR,RESR
2869	dbasilici	WTYR,RESR
2875	scalandra1	WTYR,RESR
2881	lwagler1	WTYR,RESR,CMLR
2903	mgaspard	WTYR,RESR
2903	ptimmons	WTYR,RESR
2952	wbennett	WTYR,RESR
3004	dklemme1	WTYR,RESR
3019	hevaristo1	WTYR,RESR
3023	dmilano2	WTYR,RESR
3023	ghaar	WTYR,RESR
3023	jmoore9	WTYR,RESR
3023	pdelillo	WTYR,RESR
3023	sbailey12	WTYR,RESR
3023	slysiak	WTYR,RESR
3041	mcampbel17	WTYR,RESR
3054	bbradley	WTYR,RESR
3093	edetterlin	WTYR,RESR
3124	kfowler	WTYR,RESR
3126	ghagen1	WTYR,RESR
3137	rrhines	WTYR,RESR,CMLR
3144	mdallow	WTYR,RESR
3166	kwilson11	WTYR,RESR
3195	dpotterjr	WTYR,RESR
3217	cbarton	WTYR,RESR
3217	emiller10	WTYR,RESR
3249	dgibbs	WTYR,RESR
3286	bgentry3	WTYR,RESR
3286	rhowes	WTYR,RESR
3293	jgatto	WTYR,RESR
3320	dmabry2	WTYR,RESR
3358	jhennard1	WTYR,RESR
3361	kholczer	WTYR,RESR
3369	bpierson	WTYR,RESR
3371	kszabo1	WTYR,RESR
3383	jbeerman2	WTYR,RESR
3385	dmanning2	WTYR,RESR
3389	jkorwes1	WTYR,RESR
3417	rmeade3	WTYR,RESR
3421	smorley1	WTYR,RESR
3440	sperez1	WTYR,RESR
3443	bowens	WTYR,RESR
3451	srogers7	WTYR,RESR,CMLR
3475	cparker	WTYR,RESR
3481	bfox	WTYR,RESR
3481	bfox1	WTYR,RESR
3481	tmoomau	WTYR,RESR
3482	jkeough	WTYR,RESR
3502	ayoung14	WTYR,RESR
3506	bbourque	WTYR,RESR
3539	tzolondek	WTYR,RESR
3551	rgibbs1	WTYR,RESR
3564	mtyson	WTYR,RESR
3569	lbirkhead1	WTYR,RESR
3569	mpiccolo2	WTYR,RESR
3584	tburns2	WTYR,RESR
3620	bkoontz2	WTYR,RESR
3641	rholsbeke1	WTYR,RESR
3641	rploch	WTYR,RESR
3654	jhunt3	WTYR,RESR
3655	dcannell	WTYR,RESR
3682	zperez1	WTYR,RESR
3686	smadich	WTYR,RESR
3689	sstewart6	WTYR,RESR
3707	rmiceli	WTYR,RESR
3724	jsapp	WTYR,RESR
3724	tgandy	WTYR,RESR
3729	rsather	WTYR,RESR
3736	rchason	WTYR,RESR
3740	scheshire	WTYR,RESR
3752	ktanner	WTYR,RESR
3764	ngibson4	WTYR,RESR,CMLR
3779	gcliett	WTYR,RESR
3802	amiller14	WTYR,RESR
3807	awalker12	WTYR,RESR,CMLR
3807	jmcneal1	WTYR,RESR,CMLR
3807	pstehle	WTYR,RESR,CMLR
3831	fcolman	WTYR,RESR
3831	scolman	WTYR,RESR
3840	vjendrzey	WTYR,RESR
3851	kayers2	WTYR,RESR
3856	dsteines	WTYR,RESR
3884	pshirley1	WTYR,RESR
3897	dcomptonjr	WTYR,RESR
3908	jconnaway	WTYR,RESR
3928	jclark64	WTYR,RESR
3936	sterrell	WTYR,RESR
3941	jbennett18	WTYR,RESR
3947	gwillis4	WTYR,RESR
3988	cgodwin	WTYR,RESR
4029	kmccann3	WTYR,RESR
4044	dhill1	WTYR,RESR
4084	dwilson5	WTYR,RESR
4125	thunt8	WTYR,RESR
4128	fwells	WTYR,RESR
4197	jstone3	WTYR,RESR
4205	jzatorski1	WTYR,RESR
4225	ahood	WTYR,RESR
4237	mschmiege	WTYR,RESR
4248	msuire	WTYR,RESR
4316	mmrozek	WTYR,RESR
4338	akirell	WTYR,RESR,CMLR
4338	msoffler	WTYR,RESR,CMLR
4349	kstevens2	WTYR,RESR
4408	ekemp	WTYR,RESR
4412	bellett	WTYR,RESR
4431	ckulp1	WTYR,RESR
4468	rkovich	WTYR,RESR
4474	pberkheime	WTYR,RESR
4493	acrist1	WTYR,RESR
4503	jferguson	WTYR,RESR
4517	sdonovan	WTYR,RESR
4527	dgareiss	WTYR,RESR
4550	ghinkens	WTYR,RESR
4557	scoffin	WTYR,RESR
4557	sschivley	WTYR,RESR
4558	nmorton	WTYR,RESR
4565	bmcnamara	WTYR,RESR
4565	dcollis	WTYR,RESR
4565	jwalker8	WTYR,RESR
4572	ksinn	WTYR,RESR
4572	tsinn1	WTYR,RESR
4577	mlamb2	WTYR,RESR
4578	gkern	WTYR,RESR
4578	mpirozzi	WTYR,RESR
4578	tmasters2	WTYR,RESR
4599	frussenbe1	WTYR,RESR
4599	frussenber	WTYR,RESR
4599	jpanagia	WTYR,RESR
4599	jrussenber	WTYR,RESR
4638	mgehring	WTYR,RESR
4649	jpeters11	WTYR,RESR
4686	CLEGLEITER	WTYR,RESR
4688	mdye1	WTYR,RESR
4691	gschindel	WTYR,RESR
4706	jgraber	WTYR,RESR
4719	TSCARBOROUGH	WTYR,RESR
4762	bherman1	WTYR,RESR
4796	bhoffman9	WTYR,RESR
4799	gjohnson3	WTYR,RESR
4799	ljohnson	WTYR,RESR
4803	nvictorero	WTYR,RESR
4816	jhaskins	WTYR,RESR
4844	jheinen	WTYR,RESR
